_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
086.3756936050600	+08.9838238417514	086.37568596295	0.4474	+08.98383264526	0.4059	3336088840414823168	1.0590	0.5498	-1.753	1.164	2.045	1.181	0	2.2951e+02	1.1144e+00	19.7864	0.0053	1.2444e+02	1.0194e+01	20.1140	0.0889	2.1294e+02	1.5500e+01	18.9413	0.0790	1.1727							
086.3604739840439	+08.9885045113771	086.36047613458	0.9190	+08.98851489076	0.8042	3336088909134303104	1.1818	1.3729	0.493	2.371	2.411	2.704	0	1.2332e+02	1.4019e+00	20.4608	0.0123	6.3591e+01	1.1420e+01	20.8429	0.1950	1.5406e+02	1.0667e+01	19.2927	0.0752	1.5502							
086.3738970857336	+08.9952139532454	086.37397081882	0.1033	+08.99518382491	0.0880	3336088943494046720	0.3236	0.1026	16.914	0.221	-6.998	0.193	0	2.8312e+03	3.5130e+00	17.0584	0.0013	1.0332e+03	1.2031e+01	17.8159	0.0126	2.6705e+03	5.7809e+00	16.1955	0.0024	1.6205			4333.00				
086.3692702892558	+08.9886630220416	086.36927028926	1.6993	+08.98866302204	1.5811	3336088913430197120							0	1.0606e+02	1.1841e+00	20.6244	0.0121	5.5105e+01	2.6710e+00	20.9984	0.0526	1.4278e+02	9.5134e+00	19.3752	0.0723	1.6232							
086.3887478067969	+08.9879475072830	086.38874780680	3.0815	+08.98794750728	2.6066	3336088879070453888							0	9.6693e+01	1.2274e+00	20.7249	0.0138	5.2477e+01	1.4956e+01	21.0515	0.3094	1.0284e+02	9.4726e+00	19.7315	0.1000	1.3200							
086.3935168143924	+08.9908977678937	086.39350987374	0.5253	+08.99089441488	0.4774	3336088879069147520	-0.3123	0.6286	-1.592	1.316	-0.779	1.354	0	2.1987e+02	1.2979e+00	19.8330	0.0064	9.5965e+01	1.5998e+01	20.3961	0.1810	2.5106e+02	1.0886e+01	18.7625	0.0471	1.6336							
086.3754934842386	+08.9762020726601	086.37549466668	0.8232	+08.97618855554	0.7370	3336088844710723072	0.6601	1.0387	0.271	2.318	-3.139	2.304	0	1.2196e+02	1.4414e+00	20.4729	0.0128	5.0547e+01	8.3884e+00	21.0922	0.1802	1.4490e+02	2.1234e+01	19.3592	0.1591	1.7329							
086.3851566750387	+08.9847941273268	086.38515289113	0.2753	+08.98478862445	0.2258	3336088879071541632	0.3064	0.2282	-0.868	0.557	-1.278	0.457	0	8.4540e+02	2.3143e+00	18.3707	0.0030	3.5762e+02	1.3735e+01	18.9678	0.0417	7.6028e+02	1.8911e+01	17.5595	0.0270	1.4084							
086.3715471748624	+08.9868651083223	086.37154949486	0.0986	+08.98686092808	0.0855	3336088909134302464	0.4512	0.1218	0.532	0.246	-0.971	0.193	0	2.9441e+03	3.3818e+00	17.0160	0.0012	1.2947e+03	1.4056e+01	17.5710	0.0118	2.4162e+03	9.5915e+00	16.3041	0.0043	1.2669			4895.26	0.6690	0.3417		
086.3764635492890	+08.9722016556092	086.37647096790	0.0488	+08.97220463102	0.0448	3336088844711805440	0.4900	0.0560	1.702	0.099	0.691	0.081	0	8.4617e+03	7.0169e+00	15.8697	0.0009	3.9170e+03	2.2745e+01	16.3690	0.0063	6.6331e+03	1.7440e+01	15.2076	0.0029	1.1614			4895.50			1.74	1.575
