_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
086.4146674000384	+08.9610459840182	086.41466801426	0.0554	+08.96103759851	0.0512	3336087843982391424	0.5265	0.0657	0.141	0.115	-1.948	0.102	0	7.7426e+03	6.1641e+00	15.9662	0.0009	3.6047e+03	2.5386e+01	16.4592	0.0076	6.0316e+03	1.6187e+01	15.3108	0.0029	1.1484			4931.35			1.52	1.237
086.4274603832903	+08.9470686227563	086.42746301918	0.1606	+08.94705826946	0.1401	3336087775262905472	0.5130	0.1641	0.605	0.338	-2.405	0.287	0	1.2200e+03	2.5352e+00	17.9725	0.0023	5.6774e+02	1.5405e+01	18.4660	0.0295	9.8112e+02	1.3585e+01	17.2826	0.0150	1.1834							
086.4092548922219	+08.9447691315471	086.40929064438	0.0344	+08.94469323617	0.0324	3336087813919654144	2.0673	0.0370	8.203	0.068	-17.627	0.061	0	2.9024e+04	1.2988e+01	14.5315	0.0005	1.2339e+04	2.3736e+01	15.1232	0.0021	2.4251e+04	1.9332e+01	13.8001	0.0009	1.3231			4735.31	0.6925	0.3300	0.84	0.317
086.4287375436805	+08.9542300556693	086.42873695654	0.1625	+08.95423338180	0.1491	3336087775262910848	-0.3098	0.1810	-0.135	0.344	0.773	0.296	0	1.1040e+03	3.1051e+00	18.0810	0.0031	5.1888e+02	1.2387e+01	18.5637	0.0259	8.8791e+02	1.0373e+01	17.3910	0.0127	1.1727							
086.4107712639186	+08.9397990221920	086.41072457235	0.0665	+08.93976695989	0.0619	3336087745200177792	2.7229	0.0764	-10.713	0.135	-7.447	0.118	0	8.3314e+03	7.7004e+00	15.8866	0.0010	2.5278e+03	1.2356e+01	16.8445	0.0053	8.5668e+03	2.5646e+01	14.9299	0.0033	1.9147			4206.00	0.0970	0.0502		
086.4231983030738	+08.9488765777303	086.42319830307	4.5414	+08.94887657773	3.1843	3336087779558828160							0	1.0682e+02	1.4192e+00	20.6168	0.0144	5.8832e+01	1.3541e+01	20.9274	0.2499	1.1630e+02	9.7316e+00	19.5979	0.0908	1.3294							
086.4120981620487	+08.9521572434791	086.41209816205	4.7794	+08.95215724348	3.3819	3336087813918568064							0	9.1073e+01	1.1118e+00	20.7899	0.0133	3.2722e+01	7.7363e+00	21.5643	0.2567	1.0006e+02	8.6932e+00	19.7612	0.0943	1.8031							
086.3687492353801	+08.9400993194576	086.36878445958	0.0693	+08.94003450278	0.0640	3336087878342114816	0.6880	0.0771	8.082	0.140	-15.054	0.116	0	4.4249e+03	3.6579e+00	16.5736	0.0009	2.0369e+03	2.3144e+01	17.0790	0.0123	3.6259e+03	2.6020e+01	15.8634	0.0078	1.2156			4882.09	0.6530	0.3423	0.90	0.419
086.3794448206654	+08.9658761574128	086.37944482067	6.8049	+08.96587615741	6.5099	3336087985717266048							0	8.1735e+01	1.4132e+00	20.9073	0.0188																
086.3599836699404	+08.9573315626958	086.35998683068	0.5645	+08.95732631703	0.5143	3336087951356232448	0.6341	0.6987	0.725	1.504	-1.218	1.497	0	1.7111e+02	1.4992e+00	20.1052	0.0095	7.8690e+01	1.3862e+01	20.6116	0.1913	1.9182e+02	7.8316e+00	19.0547	0.0443	1.5569							
